COD_ETB;LIB_OFF_ETB;LIB_AD1_ETB;COD_POS_ADR_ETB;LIB_COM
0400786M;Afasec Ecole Des Courses Ctre Des Lads Et Jockeys;Hippodrome 164 Rue Geroges Pela;40000;Mont De Marsan
0753239N;Agence Nat Valorisation Recher;43 Rue De Caumartin;75009;Paris 09
0290324V;Agrotech Formation;Le Cleusmeur;29260;Lesneven
0410629L;Annexe Du Legta De Vendome Lycée Horticole De Blois;5 7 R Des Grands Champs;41029;Blois
0910831J;Annexe Ecole Agricole Privée St Nicolas;10 Avenue Division Leclerc;91430;Igny
0602005D;Annexe Lycée Agricole;40 Rue Villebois Mareuil;60000;Beauvais
0593462T;Annexe Lycée G. Et T. Agricole Legta Du Nord;52 Rue Jean-baptiste Lebas;59177;Sains Du Nord
0595540B;Annexe Lycée G. Et T. Agricole Legta Du Nord;17 Rue Des Tilleuls;59530;Le Quesnoy
0422266K;Ant Du Lap E Gautier De Nandax;219 Route De Fleury;42190;Charlieu
0421168S;Ant Du Legta De Precieux;Le Creux Du Balay;42660;St Genest Malifaux
0421858S;Antenne Du Legta Roanne Cherve;37 Rue De La Republique;42440;Noiretable
0011056T;Antenne Du Lppr De L'ain;160 Rue De La Poype;01330;Villars Les Dombes
0772151V;Ass Les Sinoplies Ctre De Formation;12 Rue Joseph Bodin Boismortier;77680;Roissy En Brie
0410980T;C F P A;Domaine Des Frileuses;41150;Chaumont Sur Loire
0133440U;C.n.r.s.;31 Chemin Joseph Aiguier;13009;Marseille 09
0130231F;Centre D Enseignement Et De Recherche De L Ensam;2 Cours Des Arts Et Metiers;13617;Aix En Provence
0490067G;Centre D Enseignement Et De Recherche De L Ensam D Angers;2 Bd Du Ronceray;49035;Angers
0761366X;Centre De Formation Le Havre Formation Entreprise;10 R Mal Delattre De Tassigny;76600;Le Havre
0831023L;Centre De Formation Technique Drh De La Deleg.gener.armement;Rte Tour Royale Le Mourillon;83000;Toulon
0831024M;Centre De Formation Technique Drh De La Deleg.gener.armement;Rte Tour Royale Le Mourillon;83000;Toulon
0312020C;Centre D'etudes Superieures Industrielles Midi-pyrenees;Rue Magellan Innopole;31315;Labege
0291758D;Centre D'instruction Naval Ecole De Maistrance;;29240;Brest
0332373A;Centre Enseignement Medoc Hauteville;1 Impasse Lamire Hauteville;33250;Pauillac
0831521C;Centre Etud Sup Techn Indust;Pl G.pompidou Qua Mayol;83000;Toulon
0451467A;Centre Nat Rech Scientifique;3e Av Recherche Scientifique;45071;Orleans
0451502N;Centre Nat Rech Scientifique;3e Av Recherche Scientifique;45071;Orleans
0341860M;Centre National De La Recherche Scientif;1919 Route De Mende;34093;Montpellier
0383049H;Centre National De La Recherche Scientif;;38042;Grenoble
0753639Y;Centre National De La Recherche Scientif;15 Quai Anatole France;75007;Paris 07
0251189G;Centre National De Recherche;32 Avenue De L Observatoire;25030;Besancon
0802092P;Centre Regional De Formation Aux Metiers Du Football;Rue Du Chapitre;80016;Amiens
0171423E;Centre Sup Technique Privé Dietetique Esthetique Optique;5 Ter Avenue Kennedy;17044;La Rochelle
0332984P;Cesi Aquitaine;60 Rue De Maurian;33290;Blanquefort
0542260N;Cesi Nancy;2 Bis Rue De La Credence;54600;Villers Les Nancy
0622384E;Cesi Nord;7 Rue Diderot;62000;Arras
0922455U;Cesi Paris;116 Avenue Aristide Briand;92220;Bagneux
0691696U;Cesi Rhone Alpes Auvergne;19 Avenue Guy De Collongue;69131;Dardilly
0762969P;Cesi Rouen;Parc Vatine 1 Rue Marconi;76130;Mont St Aignan
0442292C;Cesi St Nazaire;Boulevard De L Universite;44603;St Nazaire
0341564R;Cnearc- Eitarc Montpellier;1101 Avenue Agropolis;34033;Montpellier
0352342F;Cnrs;74e Rue De Paris Ctre Oberthur;35000;Rennes
0332865K;Cnrs Et Organisme Associe;Esplanade Des Arts Metiers;33405;Talence
0753480A;College De France;11 Pl Marcelin Berthelot;75231;Paris 05
9840018X;College Privé College Pomare Iv;Papeete;98714;Papeete
0672866B;Compagnie De Formation Pigier;15 Rue Des Magasins;67000;Strasbourg
0753471R;Conservatoire National Des Arts Et Métiers (paris);292,rue Saint Martin;75141;Paris 03
0312733C;Cours Assistance Toulouse;269 Route De Narbonne;31400;Toulouse
0922297X;Cours Complementaire Privé Assurmath;44 Avenue Maurice Labrousse;92160;Antony
0831447X;Cours Privé Cours Sigma;Chemin De La Buge;83110;Sanary Sur Mer
0211551X;Cours Privé Saint Dominique;Rue De Velard;21320;Pouilly En Auxois
0312150U;Cours Privé Voltaire;57 Bd Armand Duportal;31000;Toulouse
0411021M;Cours Promotion Sociale Coiffure;5 Rue De La Picardiere;41000;Blois
0541559B;Ctr.form.prof.agricole Jeunes;3 Rue Drouas;54200;Toul
0291759E;Ctre De Formation De Brest;Porte De Carpon;29240;Brest
0311230U;Ctre D'ecologie;29 Rue J Marvig;31055;Toulouse
0930604B;Ctre Etud Sup Tech Industriel;3 Rue Fernand Hainaut;93407;St Ouen
0751700R;Ctre Nat Exploitation Oceans;39 Avenue D Iena;75116;Paris 16
0312339Z;Ctre Nat Rech Scientifique;16 Avenue Edouard Belin;31054;Toulouse
0631814E;Ctre Nat.rech.scientifique;34 Avenue Carnot;63000;Clermont Ferrand
0110942P;Ctre Polyvalent Formation Prof;La Rouatiere;11400;Souilhanels
0941958T;Deleg Regionale;27 Rue Paul Bert;94200;Ivry Sur Seine
0941957S;Deleg Regionale Cnrs;Tour Europa 126 Belle Epine;94320;Thiais
0672674T;Delegation Regionale Cnrs;23 Rue Du Loess;67037;Strasbourg
0542276F;Delegation Regionale Du Cnrs;39 Rue Gambetta;54000;Nancy
0595987M;Delegation Regionale Du Cnrs;2 Rue Des Cannonniers;59046;Lille
0411013D;E T I C Ecole Des Tech Communication;2 Rue Jehan De Saveuse;41000;Blois
0611020C;E.s.a.t.;;61210;Giel Courteilles
0951623Y;Ec Inter Sc Trait Information;Avenue Du Parc;95011;Cergy
0180910S;Ec Nat Sup Ingenieurs Bourges;10 Boulevard Lahitolle;18020;Bourges
0330203S;Ec Nle Ing Des Travaux Agricol;1 Cours Du Gl De Gaulle;33175;Gradignan
0641923T;Ec Sup Des Techno Indust Avanc;;64102;Bayonne
0801911T;Ec Sup Ing Electr Et Electrote;14 Quai De La Somme;80083;Amiens
0142182W;Ec Sup Ing Travaux Constr Caen;1 Rue Pierre Et Marie Curie;14610;Epron
0590353N;Ec Sup Tech Indust Textiles;52 Allee Lakanal;59654;Villeneuve D Ascq
0332880B;Ec Tech Pr Esthetique Cosmet. Cecile Briat;21 Cours Marechal Foch;33000;Bordeaux
0060693W;Ec.secondaire Et Techn.privee Cours Cannois-guy Furet;134 Boulevard De La Republique;06400;Cannes
0782128P;Ec.secondaire Et Techn.privee Cours Du Prieure;27 Rue Diderot;78100;St Germain En Laye
0730768N;Ec.secondaire Et Techn.privee D'altitude Le Val D'arly;Le Val D'arly;73590;St Nicolas La Chapelle
0781947T;Ec.secondaire Et Techn.privee Foot;Domaine De Montjoye;78120;Clairefontaine En Yvelines
0920925F;Ec.secondaire Et Techn.privee Marymount School;72 Boulevard De La Saussaye;92200;Neuilly Sur Seine
0941954N;Ec.sup.ing.trav.const.;28 Ave Du President Wilson;94234;Cachan
0332911K;Ec.tech.pr.coiffure Ec.tech.pr.a.berge;8 Place Tartas;33000;Bordeaux
0952044F;Ecole 2d Degre General Privée;9 Bis Rue Saint Flaive;95120;Ermont
0061991G;Ecole 2d Degre General Privée Alliance/apeda;22 Rue Michelet;06100;Nice
0752180M;Ecole 2d Degre General Privée Beausejour;23 Boulevard Beausejour;75016;Paris 16
0952134D;Ecole 2d Degre General Privée Beith Yaacov;14 Avenue Charles Peguy;95200;Sarcelles
0694066V;Ecole 2d Degre General Privée Beth Hanna;293 Rue Francis De Pressense;69100;Villeurbanne
0952126V;Ecole 2d Degre General Privée Beth Israel;9 Ruelle Des Jardins;95360;Montmagny
0132965C;Ecole 2d Degre General Privée Beth-myriam;60 Che Vallon De Toulouse;13010;Marseille 10
