COD_ETB;LIB_OFF_ETB;LIB_AD1_ETB;COD_POS_ADR_ETB;LIB_COM;LAT;LNG
0400786M;Afasec Ecole Des Courses Ctre Des Lads Et Jockeys;Hippodrome 164 Rue Geroges Pela;40000;Mont De Marsan;43.893485;-0.499782
0753239N;Agence Nat Valorisation Recher;43 Rue De Caumartin;75009;Paris 09;48.8727925;2.3281692
0290324V;Agrotech Formation;Le Cleusmeur;29260;Lesneven;48.5782643;-4.3214093
0410629L;Annexe Du Legta De Vendome Lycée Horticole De Blois;5 7 R Des Grands Champs;41029;Blois;47.5660138;1.3272299
0910831J;Annexe Ecole Agricole Privée St Nicolas;10 Avenue Division Leclerc;91430;Igny;48.7405146;2.229604
0602005D;Annexe Lycée Agricole;40 Rue Villebois Mareuil;60000;Beauvais;49.4368684;2.0892144
0593462T;Annexe Lycée G. Et T. Agricole Legta Du Nord;52 Rue Jean-baptiste Lebas;59177;Sains Du Nord;50.0905687;4.0044665
0595540B;Annexe Lycée G. Et T. Agricole Legta Du Nord;17 Rue Des Tilleuls;59530;Le Quesnoy;50.245023;3.6509335
0422266K;Ant Du Lap E Gautier De Nandax;219 Route De Fleury;42190;Charlieu;46.1618988;4.1710338
0421168S;Ant Du Legta De Precieux;Le Creux Du Balay;42660;St Genest Malifaux;45.3482709;4.431769
0421858S;Antenne Du Legta Roanne Cherve;37 Rue De La Republique;42440;Noiretable;45.8193741;3.764883
0011056T;Antenne Du Lppr De L'ain;160 Rue De La Poype;01330;Villars Les Dombes;46.0035471;5.0313797
0772151V;Ass Les Sinoplies Ctre De Formation;12 Rue Joseph Bodin Boismortier;77680;Roissy En Brie;48.8016537;2.6384353
0410980T;C F P A;Domaine Des Frileuses;41150;Chaumont Sur Loire;47.480012;1.182876
0133440U;C.n.r.s.;31 Chemin Joseph Aiguier;13009;Marseille 09;43.25633;5.4049604
0130231F;Centre D Enseignement Et De Recherche De L Ensam;2 Cours Des Arts Et Metiers;13617;Aix En Provence;43.5302287;5.454456
0490067G;Centre D Enseignement Et De Recherche De L Ensam D Angers;2 Bd Du Ronceray;49035;Angers;47.4751627;-0.5593541
0761366X;Centre De Formation Le Havre Formation Entreprise;10 R Mal Delattre De Tassigny;76600;Le Havre;49.4914767;0.1139103
0831023L;Centre De Formation Technique Drh De La Deleg.gener.armement;Rte Tour Royale Le Mourillon;83000;Toulon;43.1200697;5.9383291
0831024M;Centre De Formation Technique Drh De La Deleg.gener.armement;Rte Tour Royale Le Mourillon;83000;Toulon;43.1200697;5.9383291
0312020C;Centre D'etudes Superieures Industrielles Midi-pyrenees;Rue Magellan Innopole;31315;Labege;43.530582;1.529754
0291758D;Centre D'instruction Naval Ecole De Maistrance;;29240;Brest;48.4472219;-4.421667
0332373A;Centre Enseignement Medoc Hauteville;1 Impasse Lamire Hauteville;33250;Pauillac;45.1985079;-0.753281
0831521C;Centre Etud Sup Techn Indust;Pl G.pompidou Qua Mayol;83000;Toulon;43.1200697;5.9383291
0451467A;Centre Nat Rech Scientifique;3e Av Recherche Scientifique;45071;Orleans;47.8396941;1.9431002
0451502N;Centre Nat Rech Scientifique;3e Av Recherche Scientifique;45071;Orleans;47.8396941;1.9431002
0341860M;Centre National De La Recherche Scientif;1919 Route De Mende;34093;Montpellier;43.6388093;3.8653614
0383049H;Centre National De La Recherche Scientif;;38042;Grenoble;45.195057;5.732322
0753639Y;Centre National De La Recherche Scientif;15 Quai Anatole France;75007;Paris 07;48.86134;2.3230543
0251189G;Centre National De Recherche;32 Avenue De L Observatoire;25030;Besancon;47.2478005;5.9896566
0802092P;Centre Regional De Formation Aux Metiers Du Football;Rue Du Chapitre;80016;Amiens;49.8922653;2.2592521
0171423E;Centre Sup Technique Privé Dietetique Esthetique Optique;5 Ter Avenue Kennedy;17044;La Rochelle;46.1680031;-1.1851484
0332984P;Cesi Aquitaine;60 Rue De Maurian;33290;Blanquefort;44.9197812;-0.630999
0542260N;Cesi Nancy;2 Bis Rue De La Credence;54600;Villers Les Nancy;48.6552886;6.1174951
0622384E;Cesi Nord;7 Rue Diderot;62000;Arras;50.2971954;2.7335494
0922455U;Cesi Paris;116 Avenue Aristide Briand;92220;Bagneux;48.7985634;2.322656
0691696U;Cesi Rhone Alpes Auvergne;19 Avenue Guy De Collongue;69131;Dardilly;45.7832503;4.7658188
0762969P;Cesi Rouen;Parc Vatine 1 Rue Marconi;76130;Mont St Aignan;49.459778;1.079798
0442292C;Cesi St Nazaire;Boulevard De L Universite;44603;St Nazaire;47.253238;-2.264146
0341564R;Cnearc- Eitarc Montpellier;1101 Avenue Agropolis;34033;Montpellier;43.6477471;3.868611
0352342F;Cnrs;74e Rue De Paris Ctre Oberthur;35000;Rennes;48.1173421;-1.7075198
0332865K;Cnrs Et Organisme Associe;Esplanade Des Arts Metiers;33405;Talence;44.8052072;-0.6012446
0753480A;College De France;11 Pl Marcelin Berthelot;75231;Paris 05;48.8493963;2.3447743
9840018X;College Privé College Pomare Iv;Papeete;98714;Papeete;-17.535022;-149.569594
0672866B;Compagnie De Formation Pigier;15 Rue Des Magasins;67000;Strasbourg;48.5900534;7.7400921
0753471R;Conservatoire National Des Arts Et Métiers (paris);292,rue Saint Martin;75141;Paris 03;48.8667317;2.3542533
0312733C;Cours Assistance Toulouse;269 Route De Narbonne;31400;Toulouse;43.5536414;1.4680912
0922297X;Cours Complementaire Privé Assurmath;44 Avenue Maurice Labrousse;92160;Antony;48.7555554;2.2959254
0831447X;Cours Privé Cours Sigma;Chemin De La Buge;83110;Sanary Sur Mer;43.1207576;5.8079614
0211551X;Cours Privé Saint Dominique;Rue De Velard;21320;Pouilly En Auxois;47.266633;4.5539379
0312150U;Cours Privé Voltaire;57 Bd Armand Duportal;31000;Toulouse;43.6095732;1.4347543
