# Prev.	Assiduité	Moy Gen	Barres UE	Comp prev/cur	Suivant	Code SEM	Codes UE	Code prev. (si modifié)	Devenir	Action	Explication
# Semestre prec. validé:											
None, ADM, ADC, ADJ	ok	ok	ok	*	*	ADM	ADM		NEXT		Passage normal
None, ADM, ADC, ADJ	ok	no	ok	*	oui	ATT	ADM		NEXT		Pas moy: attente suivant pour compenser
None, ADM, ADC, ADJ	ok	*	no	*	*	ATB	ADM, AJ		NEXT		Pas barre UE
None, ADM, ADC, ADJ	no	*	*	*	oui	ATJ	AJ		NEXT		Pb assiduité, passe sans valider pour l'instant
ADM, ADJ	ok	no	*	ok	*	ADC	ADM, CMP		NEXT		Compense avec semestre précédent
											
# Semestre prec. ATJ (pb assiduité):											
ATJ	no	*	*	*	*	NAR	AJ	AJ	REO		Pb assiduité persistant: réorientation
ATJ	no	*	*	*	*	AJ	AJ	AJ	REDOANNEE		Pb assiduité persistant: redoublement année
*	no	*	*	*	*	AJ		ADM	REO		Pb assiduité, étudiant en échec.
											
											
											
# Semestre prec. ATT (pb moy gen):											
ATT	ok	ok	ok	ok	*	ADM	ADM	ADC	NEXT		Passage, et compense précédent
ATT	ok	ok	ok	*	*	ADM	ADJ	ADJ	NEXT		Passage, le jury valide precedent
ATT	no	ok	ok	*	oui	ATJ	AJ	ADJ	NEXT		Passage, le jury valide précédent, pb assiduité
ATT	ok	no	*	*	*	AJ	AJ	AJ	REDOANNEE		Redoublement année
ATT	*	ok	ok	no	*	AJ	AJ	AJ	REDOANNEE		Pas de compensation ni validation du précédent
											
# Semestre prec. ATB (pb barre UE):											
ATB	*	*	*	*	*	AJ	ADM, AJ	AJ	REDOANNEE		Prev ne peut pas être validé, redoublement année
ATB	*	*	*	*	*	NAR	ADM, AJ	NAR	REO		Prev ne peut pas être validé, réorientation
ATB	ok	ok	ok	*	*	ADM	ADM	ADJ			Le jury valide prev
ATB	ok	no	ok	*	oui	ATT	ADM, AJ	ADJ			Le jury valide prev, pas moyenne gen., attente suivant
ATB	ok	*	no	*	oui	ATB	ADM, AJ	ADJ			Le jury valide prev, pb barre UE, attente
ATB	no	*	*	*	oui	ATJ	AJ	ADJ			Le jury valide prev, mais probleme assiduité.
											
# Semestre prec. AJ (ajourné):											
AJ	ok	no	*	*	*	AJ			REDOANNEE		Echec de 2 semestres, redouble année
AJ	ok	ok	no	*	*	AJ			REDOANNEE		Echec de 2 semestres, redouble année
NAR	*	*	*	*	*	BUG	BUG		BUG	BUG	Situation impossible !
											
# Décisions du jury:											
*	ok	no	*	*	*	ADJ	ADM,CMP		NEXT		Le jury décide de valider
ATT,ATB	ok	no	*	*	*	ADJ	ADM,CMP	ADJ	NEXT		Le jury décide de valider ce semestre et le précédent
*	ok	ok	no	*	*	ADJ	ADM,CMP		NEXT		Le jury décide de valider
ATT,ATB	ok	ok	no	*	*	ADJ	ADM,CMP	ADJ	NEXT		Le jury décide de valider ce semestre et le précédent
											
											
ATT,ATB	no	no	ok	*	oui	ATT	ADM, AJ	ADJ	NEXT		Pb moy: attente, mais le jury valide le précédent
											
# Semestres "décales" (REDOSEM)											
None, ADM, ADC, ADJ	ok	no	*	no	*	AJ			REDOSEM		Pas moy: redouble ce semestre
None, ADM, ADC, ADJ	ok	ok	no	no	*	AJ			REDOSEM		Pas barre UE: redouble ce semestre
None, ADM, ADC, ADJ	no	*	*	*	*	AJ			REDOSEM		Pb assiduité: redouble ce semestre
											
# Exclusion (art. 22): si precedent non valide et pas les barres dans le courant, on peut ne pas autoriser a redoubler:											
# (le cas ATB est couvert plus haut)											
AJ,ATT,NAR	ok	no	*	*	*	NAR		NAR	REO		Non autorisé à redoubler
AJ,ATT,NAR	ok	ok	no	*	*	NAR		NAR	REO		Non autorisé à redoubler
